"DATAID","ASSIGNMENT","STRING","STRING","STRING","STRING","STRING","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Group","CG2","Compound","SMILES","Formula","Source","Method","CN (Exp)","RotBFrac","TDB3s","MATS1e","VPC-4","ATSC2e","GATS1p","SPC-5","SHBint4","GATS7m","E3m","nwHBa","SpMax6_Bhp","SRW6","SP-6","AATS3e"
"51","L","Alkanes","","7,8-dimethyltetradecane","CCCCCCC(C)C(C)CCCCCC","C16H34","NREL (2014)","Unknown","40","0.733333333","4.330835507","-0.043367347","1.138071187","-0.070427034","1.5625","1.040440115","0","0.962324032","0.13976442","0","2.79524872","5.837730447","0.928468348","7.005127585"
"52","L","Alkanes","","3-ethylpentane","CCC(CC)CC","C7H16","Marquardt (2015)","IQT","34.1","0.5","4.344652668","-0.103896104","0.612372436","-0.025285112","1.642857143","0.612372436","0","0","0.089522187","0","1.765276817","4.890349128","0","6.987211111"
"53","L","Alkanes","","n-hexane","CCCCCC","C6H14","NREL (2014)","IQT","47.9","0.6","3.99564822","-0.122807018","0","-0.04174016","1.666666667","0","0","0","0.032834385","0","1.357364362","4.343805422","0","6.932934667"
"54","L","Alkanes","","n-heptane","CCCCCCC","C7H16","Marquardt (2015)","IQT","52.8","0.666666667","4.003647888","-0.103896104","0","-0.049001112","1.642857143","0","0","0.75297619","0.032582789","0","1.522049418","4.574710979","0.176776695","6.941980741"
"55","L","Alkanes","","5-butylnonane","CCCCC(CCCC)CCCC","C13H28","NREL (2014)","Unknown","53","0.75","4.165658944","-0.053846154","0.433012702","-0.070851726","1.576923077","0.612372436","0","0.876068376","0.158729418","0","2.669494685","5.533389489","0.828878787","6.987211111"
"56","L","Alkanes","","2-methylheptadecane","CCCCCCCCCCCCCCCC(C)C","C18H38","Marquardt (2015)","IQT","91","0.823529412","4.172960588","-0.038383838","0.288675135","-0.109747","1.555555556","0.204124145","0","0.962163243","0.032726886","0","2.906883506","5.831882477","1.10839971","6.986901098"
"57","L","Alkanes","","2,2,4,6,6-pentamethylheptane","CC(CC(C)(C)C)CC(C)(C)C","C12H26","NREL (2014)","Unknown","9","0.363636364","5.567385768","-0.058558559","1.513420006","0.079162825","1.583333333","3.437212753","0","2.253205128","0.134681689","0","2.457539916","5.978885765","0.649519053","7.132123556"
"58","L","Alkanes","","10,13-dimethyldocosane","CCCCCCCCCC(C)CCC(C)CCCCCCCCC","C24H50","Creton (2011)","Unknown","56","0.826086957","4.211117005","-0.028538813","0.816496581","-0.133045201","1.541666667","0.81305253","0","0.9321633","0.032513225","0","3.2056635","6.208590026","1.643059165","6.998781198"
"59","L","Alkanes","","2,2,3-trimethylbutane","CC(C)C(C)(C)C","C7H16","NREL (2014)","IQT","12.9","0.166666667","5.89875172","-0.103896104","2.598076211","0.045862888","1.642857143","0.577350269","0","0","0.120642946","0","1.512321251","5.379897354","0","7.120267111"
"60","L","Alkanes","","2,2-dimethylbutane","CCC(C)(C)C","C6H14","Marquardt (2015)","IQT","24.4","0.2","5.618036477","-0.122807018","1.060660172","0.02940784","1.666666667","0.353553391","0","0","0.145437822","0","0.643930482","5.081404365","0","7.092601867"
"61","L","Alkanes","","9,10-dimethyloctadecane","CCCCCCCCC(C)C(C)CCCCCCCC","C20H42","NREL (2014)","Unknown","60","0.789473684","4.265824716","-0.03442623","1.138071187","-0.101675255","1.55","1.040440115","0","0.971101774","0.134541816","0","2.988463635","6.047372179","1.295458465","7.001355696"
"62","L","Alkanes","","n-octane","CCCCCCCC","C8H18","NREL (2014)","CFR","64","0.714285714","4.009709338","-0.09","0","-0.056413207","1.625","0","0","0.83590535","0.032391351","0","1.714527311","4.762173935","0.25","6.948442222"
"63","L","Alkanes","","2,6-dimethyloctane","CCC(C)CCCC(C)C","C10H22","Marquardt (2015)","IQT","51.7","0.555555556","4.582215193","-0.070967742","0.781474414","-0.024086562","1.6","0.552585858","0","1.302626263","0.03089078","0","2.276852341","5.351858133","0.48570226","7.016486321"
"64","L","Alkanes","","2,2,4,4,6,8,8-heptamethylnonane ","CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C","C16H34","NREL (2014)","CFR","15","0.4","5.617639189","-0.043367347","2.350953631","0.119300966","1.5625","6.293131055","0","1.910650624","0.147473228","0","2.457539916","6.34738921","0.981220789","7.147053985"
"65","L","Alkanes","","3-ethyldecane","CCCCCCCC(CC)CC","C12H26","NREL (2014)","Unknown","48","0.727272727","4.196105917","-0.058558559","0.552585858","-0.063133175","1.583333333","0.594861352","0","0.92989418","0.076101468","0","2.397635285","5.451038454","0.545630496","6.987211111"
"66","L","Alkanes","","n-heptadecane","CCCCCCCCCCCCCCCCC","C17H36","NREL (2014)","Unknown","105","0.875","4.01860597","-0.040723982","0","-0.125655119","1.558823529","0","0","0.959029291","0.031666427","0","2.882888491","5.693732139","1.045495129","6.970249722"
"67","L","Alkanes","","n-eicosane","CCCCCCCCCCCCCCCCCCCC","C20H42","NREL (2014)","Unknown","110","0.894736842","4.017344107","-0.03442623","0","-0.149107255","1.55","0","0","0.967178131","0.031564017","0","3.053661352","5.877735782","1.310660172","6.972927836"
"68","L","Alkanes","","2-methylpentane","CCCC(C)C","C6H14","NREL (2014)","IQT","34.5","0.4","4.512744354","-0.122807018","0.288675135","-0.01802416","1.666666667","0.288675135","0","0","0.031827515","0","1.186107579","4.615120517","0","6.986157067"
"69","L","Alkanes","","n-tetradecane","CCCCCCCCCCCCCC","C14H30","NREL (2014)","IQT","85.1","0.846153846","4.020585785","-0.049833887","0","-0.102312","1.571428571","0","0","0.945443857","0.031802549","0","2.630524496","5.468060141","0.780330086","6.966335556"
"70","L","Alkanes","","n-decane","CCCCCCCCCC","C10H22","Marquardt (2015)","IQT","65.5","0.777777778","4.016285102","-0.070967742","0","-0.071518562","1.6","0","0","0.901818182","0.032119184","0","2.088317692","5.056245805","0.426776695","6.957057531"
"71","L","Alkanes","","2,5-dimethylundecane","CCCCCCC(C)CCC(C)C","C13H28","NREL (2014)","Unknown","58","0.666666667","4.424102653","-0.053846154","0.696923425","-0.047135726","1.576923077","0.573192931","0","0.750915751","0.078595413","0","2.50458913","5.602118821","0.574053944","7.009167519"
"72","L","Alkanes","","3-methylheptane","CCCCC(C)CC","C8H18O","Marquardt (2015)","IQT","45","0.571428571","4.35944262","-0.09","0.49279928","-0.032697207","1.625","0.348461713","0","0.50154321","0.031959876","0","1.838528324","4.990432587","0.144337567","6.986834667"
"73","L","Alkanes","","n-nonane","CCCCCCCCC","C9H20","Marquardt (2015)","IQT","60.9","0.75","4.013552262","-0.079365079","0","-0.063928861","1.611111111","0","0","0.877160494","0.032240795","0","1.907707617","4.919980926","0.338388348","6.953288333"
"74","L","Alkanes","","2-methylbutane","CCC(C)C","C5H12","NREL (2014)","IQT","24.9","0.25","4.723992908","-0.15","0.40824829","-0.010996346","1.7","0","0","0","0.031272864","0","0.399277246","4.394449155","0","6.985893556"
